Timestamp	Your Sex	Your Sexual Orientation	Your Religious Beliefs	Who you're in a Relationship with	What you like to Discuss	People in your Family	Where you live	Places of Interest to you	Pets you Own	Your Hobbies/Interests/Fetishes	Most Sensitive Combination of Information	Your Religious Beliefs
10/13/2015 21:29:17	5	4	1	10	8	10	10	8	10	9	Your Relationships, Your Family Members, Your Pets, Where you Live, Places of Interest, What you like to Discuss, Hobbies/Interest/Fetishes	
10/13/2015 21:42:47	1	1	3	5	1	1	2	1	1	1	Religious Beliefs, Your Relationships, Where you Live	
10/13/2015 21:47:02	9	1	6	3	6	8	10	7	1	8	Sex, Your Relationships, Your Family Members, Where you Live, Hobbies/Interest/Fetishes	
10/13/2015 22:32:21	1	1	1	1	1	1	1	1	1	1	Your Family Members	
10/13/2015 22:46:28	1	1	5	9	2	9	3	1	1	4	Religious Beliefs, Your Relationships, Your Family Members	
10/13/2015 23:37:07	5	5	1	9	3	9	6	3	1	8	Sex, Sexual Orientation, Your Relationships, Where you Live	
10/13/2015 23:40:22	4	5	5	10	2	10	7	1	1	8	Sex, Your Family Members, What you like to Discuss	
10/14/2015 0:14:47	4	8	3	3	9	9	5	3	3	9	Sex, Religious Beliefs, Your Relationships	
10/14/2015 0:21:32	10	10	5	8	5	10	10	5	5	5	Sex, Sexual Orientation, Religious Beliefs, Your Relationships, Your Family Members, Where you Live	
10/14/2015 1:21:03	1	1	1	5	2	4	6	2	1	3	Sexual Orientation, Your Relationships, Your Family Members, Where you Live, Hobbies/Interest/Fetishes	
10/14/2015 3:06:43	1	5	7	10	8	10	7	5	1	9	Sex, Sexual Orientation, Religious Beliefs, Your Relationships, Your Family Members, Where you Live, Places of Interest, What you like to Discuss, Hobbies/Interest/Fetishes	
10/14/2015 5:08:08	1	1	3	3	2	7	2	1	1	2	Your Relationships, Your Family Members	
10/14/2015 11:28:11	8	8	9	8	3	3	7	3	3	6	Sex, Sexual Orientation, Religious Beliefs, Your Relationships, Hobbies/Interest/Fetishes	
